"#","Title","Views","Likes","Dislikes","Comments","Reputation","Rep_v2","Rep_live","Custom","Action"
"112","Madden NFL 19 � Official Reveal Trailer","639,311","9,818","1,938","2,735","453","86","2,276","No","Delete"
"113","Battlefield 5 Official Multiplayer Trailer","2,474,393","135,476","19,609","33,396","3,039","443","25,481","No","Delete"
"114","Battlefield 5 Official Multiplayer Trailer","3,659,746","155,591","26,049","39,230","3,351","484","28,801","No","Delete"
"115","Battlefield 5 Official Multiplayer Trailer","3,520,758","153,948","24,973","38,510","3,325","480","28,440","No","Delete"
"116","Battlefield 5 Official Multiplayer Trailer","3,323,009","150,997","23,860","37,779","3,284","475","27,987","No","Delete"
"117","Battlefield 5 Official Multiplayer Trailer","2,888,567","143,368","21,829","35,590","3,163","459","26,762","No","Delete"
"118","Freddie Gets A Bedroom Makeover � Ladylike","958,408","47,103","445","2,831","1,192","189","6,089","No","Delete"
"119","Freddie Gets A Bedroom Makeover � Ladylike","1,677,912","69,167","852","3,863","1,566","240","8,696","No","Delete"
"120","Freddie Gets A Bedroom Makeover � Ladylike","1,566,814","66,027","788","3,727","1,515","233","8,343","No","Delete"
"121","Freddie Gets A Bedroom Makeover � Ladylike","1,398,289","60,811","706","3,491","1,429","221","7,745","No","Delete"
"122","Freddie Gets A Bedroom Makeover � Ladylike","1,146,190","52,408","569","3,176","1,289","202","6,784","No","Delete"
"123","The Truth About Where Hair Extensions Come From | Shady | Refinery29","940,063","62,208","459","3,244","1,447","223","7,736","No","Delete"
"124","The Truth About Where Hair Extensions Come From | Shady | Refinery29","2,756,607","139,611","1,415","7,439","2,609","372","15,858","No","Delete"
"125","The Truth About Where Hair Extensions Come From | Shady | Refinery29","2,556,225","133,137","1,315","7,094","2,521","361","15,243","No","Delete"
"126","The Truth About Where Hair Extensions Come From | Shady | Refinery29","2,108,182","115,922","1,075","6,072","2,277","330","13,525","No","Delete"
"127","The Truth About Where Hair Extensions Come From | Shady | Refinery29","1,377,087","81,564","667","4,273","1,763","265","9,944","No","Delete"
"128","I Tried To Re-Create This Giant Ramen","1,803,187","46,974","1,237","2,487","1,163","187","6,038","No","Delete"
"129","I Tried To Re-Create This Giant Ramen","1,655,211","44,454","1,139","2,388","1,119","181","5,724","No","Delete"
"130","I Tried To Re-Create This Giant Ramen","1,454,399","40,524","1,013","2,214","1,048","171","5,224","No","Delete"
"131","I Tried To Re-Create This Giant Ramen","1,193,623","35,386","822","2,014","953","157","4,565","No","Delete"
"132","FASHION PHOTO RUVIEW: Evil Twin with Raja and Raven","274,294","7,285","1,365","2,268","379","74","1,684","No","Delete"
"133","FASHION PHOTO RUVIEW: Evil Twin with Raja and Raven","427,242","9,377","2,423","3,654","481","91","2,718","No","Delete"
"134","FASHION PHOTO RUVIEW: Evil Twin with Raja and Raven","409,044","9,187","2,270","3,533","474","90","2,626","No","Delete"
"135","FASHION PHOTO RUVIEW: Evil Twin with Raja and Raven","379,162","8,806","2,112","3,094","445","85","2,346","No","Delete"
"136","FASHION PHOTO RUVIEW: Evil Twin with Raja and Raven","317,208","7,844","1,723","2,547","401","78","1,922","No","Delete"
"137","Maroon 5 - Three Little Birds","3,607,555","208,213","8,490","14,450","3,500","487","23,538","No","Delete"
"138","Maroon 5 - Three Little Birds","5,517,903","243,696","12,874","16,841","3,893","537","26,851","No","Delete"
"139","Maroon 5 - Three Little Birds","4,958,124","236,858","12,259","16,647","3,822","528","26,323","No","Delete"
"140","Maroon 5 - Three Little Birds","4,517,372","228,589","11,370","16,025","3,728","517","25,555","No","Delete"
"141","Maroon 5 - Three Little Birds","3,945,041","216,378","9,755","14,998","3,589","499","24,342","No","Delete"
"142","Stephen A. on Cavaliers' NBA Finals Game 4: 'It was an embarrassing effort' | SC with SVP | ESPN","1,150,627","9,737","811","6,344","648","114","3,964","No","Delete"
"143","Stephen A. on Cavaliers' NBA Finals Game 4: 'It was an embarrassing effort' | SC with SVP | ESPN","1,215,945","10,083","856","6,475","660","116","4,074","No","Delete"
"144","Shootout with Ronaldinho at Nicky Jam World Cup Video Shoot","724,963","35,342","359","1,943","959","157","4,455","No","Delete"
"145","Shootout with Ronaldinho at Nicky Jam World Cup Video Shoot","1,313,348","44,978","773","2,666","1,145","183","5,850","No","Delete"
"146","Shootout with Ronaldinho at Nicky Jam World Cup Video Shoot","1,187,544","42,554","706","2,541","1,101","177","5,537","No","Delete"
"147","Shootout with Ronaldinho at Nicky Jam World Cup Video Shoot","1,061,784","40,492","621","2,384","1,061","172","5,241","No","Delete"
"148","Shootout with Ronaldinho at Nicky Jam World Cup Video Shoot","853,664","37,264","480","2,140","998","163","4,769","No","Delete"
"149","Anderson Cooper�s tribute to his friend Anthony Bourdain","1,599,870","24,200","1,883","6,787","924","156","5,837","No","Delete"
"150","Anderson Cooper�s tribute to his friend Anthony Bourdain","2,849,993","37,374","2,762","9,559","1,238","200","8,458","No","Delete"
"151","Anderson Cooper�s tribute to his friend Anthony Bourdain","2,697,565","36,029","2,642","9,266","1,208","196","8,193","No","Delete"
"152","Anderson Cooper�s tribute to his friend Anthony Bourdain","2,436,401","33,232","2,455","8,812","1,148","188","7,709","No","Delete"
"153","Anderson Cooper�s tribute to his friend Anthony Bourdain","1,951,772","27,916","2,131","7,810","1,025","170","6,710","No","Delete"
"154","The Mystical Villa Montezuma Mansion","1,457,433","55,028","945","6,793","1,449","225","8,633","No","Delete"
"155","The Mystical Villa Montezuma Mansion","1,877,905","65,332","1,213","7,767","1,631","249","9,987","No","Delete"
"156","The Mystical Villa Montezuma Mansion","1,792,541","63,204","1,170","7,567","1,594","244","9,714","No","Delete"
"157","The Mystical Villa Montezuma Mansion","1,713,979","61,199","1,118","7,380","1,559","239","9,454","No","Delete"
"158","The Mystical Villa Montezuma Mansion","1,582,468","57,656","1,032","7,032","1,496","231","8,983","No","Delete"
"159","Jaiden & Boyinaband - Empty (Official Music Video)","2,338,402","307,354","6,607","87,691","6,105","778","46,906","No","Delete"
"160","Jaiden & Boyinaband - Empty (Official Music Video)","3,647,441","387,156","8,882","108,849","7,189","896","55,248","No","Delete"
"161","Jaiden & Boyinaband - Empty (Official Music Video)","3,387,832","373,983","8,506","105,594","7,019","878","53,958","No","Delete"
"162","Jaiden & Boyinaband - Empty (Official Music Video)","3,078,614","355,173","7,996","100,948","6,773","851","52,097","No","Delete"
"163","Jaiden & Boyinaband - Empty (Official Music Video)","2,635,506","325,638","7,223","93,258","6,372","807","49,034","No","Delete"
"164","I Tried To Make A Pie With Zero Waste","2,013,900","54,669","1,660","4,470","1,351","213","7,724","No","Delete"
